Country,Managed_By,Fulfill_Via,Shipment_Mode,Product_Group,Sub_Classification,Brand,Unit_of_Measure_Per_Pack,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Weight_Kilograms,Freight_Cost_USD,Line_Item_Insurance_USD
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,38640,92736.0,2.4,0.04,Yes,2719,18614.72,148.38
Nigeria,PMO - US,Direct Drop,Air,ACT,ACT,Coartem,540,34,1547.68,45.52,0.08,Yes,115,1755.87,2.48
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,42000,60900.0,1.45,0.02,Yes,2600,10179.16,97.44
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,16800,171192.0,10.19,0.34,Yes,1224,4686.88,335.54
Guyana,PMO - US,Direct Drop,Air,MRDT,Malaria,Paramax,25,98,3675.0,37.5,1.5,Yes,34,180.0,5.88
Zambia,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,4500,323955.0,71.99,0.72,Yes,1053,11062.05,634.95
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Genie,40,500,38000.0,76.0,1.9,Yes,562,11298.13,60.8
Côte d'Ivoire,PMO - US,Direct Drop,Air,ACT,ACT,Generic,12,25000,9750.0,0.39,0.03,Yes,1708,12830.91,19.11
Namibia,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,150,10798.5,71.99,0.72,Yes,46,2698.04,21.17
Botswana,PMO - US,Direct Drop,Air,HRDT,HIV test - Ancillary,Uni-Gold,2,15,450.0,30.0,15.0,Yes,1,578.01,0.88
Zambia,PMO - US,Direct Drop,Air,HRDT,HIV test,Bioline,25,319,6380.0,20.0,0.8,Yes,100,1122.24,12.5
Tanzania,PMO - US,Direct Drop,Air,ARV,Adult,Atripla,30,50000,2520000.0,50.4,1.68,Yes,4093,9339.0,4939.2
Côte d'Ivoire,PMO - US,Direct Drop,Air,ANTM,Malaria,Generic,100,140,2731.4,19.51,0.2,Yes,5209,25405.22,5.35
Mozambique,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,5700,182400.0,32.0,1.6,Yes,1906,23914.8,357.5
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,5964,51350.04,8.61,0.14,Yes,3509,12835.2,100.65
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,10560,72864.0,6.9,0.12,Yes,924,4225.93,142.81
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,2352,20250.72,8.61,0.14,Yes,211,892.5,39.69
Tanzania,PMO - US,Direct Drop,Air,ARV,Pediatric,Kaletra,300,524,21536.4,41.1,0.14,Yes,644,6668.61,42.21
Rwanda,PMO - US,Direct Drop,Air,HRDT,HIV test,First Response,30,8249,185602.5,22.5,0.75,Yes,2800,12595.81,363.78
Nigeria,PMO - US,Direct Drop,Air,ARV,Adult,Videx EC,30,200,4734.0,23.67,0.79,Yes,11,463.0,9.28
Haiti,PMO - US,Direct Drop,Air,ARV,Pediatric,Videx,60,80,760.0,9.5,0.16,Yes,43,260.0,1.49
Haiti,PMO - US,Direct Drop,Air,ARV,Pediatric,Generic,60,46,472.88,10.28,0.17,Yes,10,893.22,0.93
Botswana,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,20,7000.0,350.0,3.5,Yes,48,1172.11,13.72
Côte d'Ivoire,PMO - US,Direct Drop,Air,ARV,Adult,Aluvia,120,10240,420864.0,41.1,0.34,Yes,2523,14806.48,824.89
Côte d'Ivoire,PMO - US,Direct Drop,Air,ARV,Adult,Norvir,336,400,15344.0,38.36,0.11,Yes,175,7642.97,30.07
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,60,21000.0,350.0,3.5,Yes,144,3128.19,41.16
Kenya,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,7500,600000.0,80.0,0.8,Yes,2215,16835.31,1176.0
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,6395,511600.0,80.0,0.8,Yes,1915,24514.33,1002.74
Rwanda,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,55356,386384.88,6.98,0.23,Yes,4482,37404.74,757.31
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Genie,40,1000,110000.0,110.0,2.75,Yes,1101,8074.03,215.6
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Norvir,336,8,613.76,76.72,0.23,Yes,48,3366.04,1.2
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,3500,39025.0,11.15,0.19,Yes,1804,6341.88,76.49
Botswana,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,5,1750.0,350.0,3.5,Yes,12,684.42,3.43
Namibia,PMO - US,Direct Drop,Air,HRDT,HIV test,Clearview,25,67,5025.0,75.0,3.0,Yes,48,401.97,9.85
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Videx,60,400,2800.0,7.0,0.12,Yes,148,14.36,5.49
Namibia,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,220,7040.0,32.0,1.6,Yes,79,1736.18,13.8
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Genie,40,147,11076.45,75.35,1.88,Yes,165,1816.57,90.535
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,6,2400.0,400.0,4.0,Yes,15,1039.5,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Videx,60,2800,19600.0,7.0,0.12,Yes,555,3292.15,90.535
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,15,6000.0,400.0,4.0,Yes,36,1195.29,90.535
Nigeria,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,894,2994.9,3.35,0.06,Yes,479,4861.14,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,25100,276100.0,11.0,0.18,Yes,2575,18772.94,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,95500,144205.0,1.51,0.03,Yes,9170,42453.21,90.535
Guyana,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,900,36000.0,40.0,2.0,Yes,316,4989.87,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,70000,525000.0,7.5,0.12,Yes,6813,31858.09,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,25000,187500.0,7.5,0.12,Yes,2348,21439.59,300.0
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Genie,40,375,28500.0,76.0,1.9,Yes,402,4445.75,90.535
Ethiopia,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,4650,372000.0,80.0,0.8,Yes,1707,24859.45,90.535
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,3500,280000.0,80.0,0.8,Yes,1194,5858.57,448.0
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Generic,240,1000,1920.0,1.92,0.01,Yes,960,13762.41,3.07
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,3000,40500.0,13.5,0.22,Yes,332,4454.62,64.8
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,22500,277425.0,12.33,0.41,Yes,1955,16095.39,443.88
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Aluvia,120,500,41095.0,82.19,0.68,Yes,117,1767.38,65.75
Tanzania,PMO - US,Direct Drop,Air,HRDT,HIV test,Bioline,25,10000,200000.0,20.0,0.8,Yes,3336,25165.3,320.0
Rwanda,PMO - US,Direct Drop,Air,ARV,Adult,Viread,30,1609,27353.0,17.0,0.57,Yes,157,7922.24,43.76
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Norvir,336,100,18333.0,183.33,0.55,Yes,337,2535.4,29.33
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,10000,270000.0,27.0,1.35,Yes,3336,28002.75,432.0
Rwanda,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,1099,30222.5,27.5,0.46,Yes,113,1511.25,48.36
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,1200,2100.0,1.75,0.03,Yes,125,2429.85,3.36
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,650,51993.5,79.99,0.8,Yes,148,2577.27,83.19
Botswana,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,450,14400.0,32.0,1.6,Yes,154,2496.62,23.04
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,10270,277290.0,27.0,1.35,Yes,2907,18864.37,443.66
Mozambique,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,9000,288000.0,32.0,1.6,Yes,9000,55746.59,460.8
Zambia,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,6040,193280.0,32.0,1.6,Yes,2052,24689.0,309.25
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,289,7803.0,27.0,1.35,Yes,79,1104.69,15.29
Mozambique,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,3000,215970.0,71.99,0.72,Yes,682,5298.9,345.55
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,1116,78120.0,70.0,0.7,Yes,255,5175.72,124.99
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,1116,78120.0,70.0,0.7,Yes,256,7118.12,153.12
Guyana,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,832,26624.0,32.0,1.6,Yes,832,3740.04,42.6
Guyana,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,213,15333.87,71.99,0.72,Yes,49,959.46,24.53
Botswana,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,10,3500.0,350.0,3.5,Yes,39,604.0,5.6
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,10080,29232.0,2.9,0.05,Yes,507,4159.45,46.77
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,6720,77145.6,11.48,0.38,Yes,522,3796.05,123.43
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Videx,60,400,2800.0,7.0,0.12,Yes,81,3013.09,4.48
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,10780,15631.0,1.45,0.02,Yes,502,7575.6,25.01
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,1123,78610.0,70.0,0.7,Yes,257,2851.72,154.08
Rwanda,PMO - US,Direct Drop,Air,HRDT,HIV test,Capillus,100,340,47260.0,139.0,1.39,Yes,234,5446.06,75.62
Rwanda,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,47879,569281.31,11.89,0.2,Yes,5311,30408.04,910.85
Rwanda,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,61021,725539.69,11.89,0.2,Yes,6768,38120.96,1160.86
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,18030,26143.5,1.45,0.02,Yes,1114,5822.44,41.83
Zambia,PMO - US,Direct Drop,Air,HRDT,HIV test - Ancillary,Generic,100,3000,30.0,0.01,0.0,Yes,889,7303.52,0.05
Guyana,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,213,15333.87,71.99,0.72,Yes,49,1047.39,30.05
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test - Ancillary,Generic,100,6502,65.02,0.01,0.0,Yes,1927,24870.05,0.1
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,6875,549931.25,79.99,0.8,Yes,1566,19992.75,879.89
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Aluvia,120,434,35674.8,82.2,0.68,Yes,113,2709.98,69.92
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,1100,12540.0,11.4,0.19,Yes,159,2568.6,24.58
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,8400,85596.0,10.19,0.34,Yes,613,3247.73,167.77
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,3648,26448.0,7.25,0.12,Yes,323,2335.19,51.84
Guyana,PMO - US,Direct Drop,Air,MRDT,Malaria,Paramax,25,108,4050.0,37.5,1.5,Yes,34,648.27,7.94
Ethiopia,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,5958,160866.0,27.0,1.35,Yes,2147,11066.17,257.39
Ethiopia,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,3982,107514.0,27.0,1.35,Yes,1445,7303.25,210.73
Ethiopia,PMO - US,Direct Drop,Air,HRDT,HIV test,Colloidal Gold,1,6998,160954.0,23.0,23.0,Yes,5057,44347.71,257.53
Ethiopia,PMO - US,Direct Drop,Air,HRDT,HIV test,Colloidal Gold,1,3470,79810.0,23.0,23.0,Yes,2509,19882.25,156.43
Ethiopia,PMO - US,Direct Drop,Air,HRDT,HIV test,Colloidal Gold,1,3510,80730.0,23.0,23.0,Yes,2535,22433.91,158.23
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,6000,17400.0,2.9,0.05,Yes,581,2653.27,34.1
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,5751,460080.0,80.0,0.8,Yes,1723,22451.67,901.76
Namibia,PMO - US,Direct Drop,Air,HRDT,HIV test,Clearview,25,3,225.0,75.0,3.0,Yes,3,963.34,0.44
Guyana,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,100,2700.0,27.0,1.35,Yes,28,692.38,5.29
Namibia,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,68,2176.0,32.0,1.6,Yes,22,1003.52,4.26
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,9000,21600.0,2.4,0.04,Yes,2228,9809.7,42.34
Nigeria,PMO - US,Direct Drop,Air,ARV,Adult,Atripla,30,25000,1260000.0,50.4,1.68,Yes,2067,7933.38,2469.6
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,1680,117600.0,70.0,0.7,Yes,382,3241.06,230.5
Haiti,PMO - US,Direct Drop,Air,ARV,Pediatric,Generic,100,2100,10500.0,5.0,0.05,Yes,187,1903.54,20.58
Mozambique,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,9000,648000.0,72.0,0.72,Yes,2655,25052.69,1270.08
Uganda,PMO - US,Direct Drop,Air,ARV,Adult,Videx EC,30,60,1100.4,18.34,0.61,Yes,3000,428.91,2.16
Rwanda,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,7840,71344.0,9.1,0.15,Yes,719,853.88,139.83
Guyana,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,425,38250.0,90.0,0.9,Yes,130,1859.79,74.97
Guyana,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,276,24840.0,90.0,0.9,Yes,87,1205.7,48.69
Nigeria,PMO - US,Direct Drop,Air,ARV,Adult,Aluvia,120,73,3000.3,41.1,0.34,Yes,69,1332.43,5.88
Kenya,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,5,160.0,32.0,1.6,Yes,2,12561.4,0.31
Kenya,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,4995,159840.0,32.0,1.6,Yes,4995,275.0,313.29
Nigeria,PMO - US,Direct Drop,Air,ARV,Adult,Aluvia,120,2040,83844.0,41.1,0.34,Yes,309,3777.93,164.33
Rwanda,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,26932,317528.28,11.79,0.2,Yes,3393,30661.5,622.36
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Genie,40,1000,110000.0,110.0,2.75,Yes,1073,8114.11,215.6
Namibia,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,800,56000.0,70.0,0.7,Yes,195,2008.54,109.76
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,150,1950.0,13.0,0.43,Yes,30,4111.71,3.82
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Genie,40,140,15400.0,110.0,2.75,Yes,158,4318.21,30.18
Namibia,PMO - US,Direct Drop,Air,ARV,Pediatric,Generic,60,2000,3800.0,1.9,0.03,Yes,251,1484.75,7.45
Zambia,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,2000,144000.0,72.0,0.72,Yes,590,5962.58,310.46
Guyana,PMO - US,Direct Drop,Air,ARV,Adult,Aluvia,120,2733,224625.27,82.19,0.68,Yes,589,314.0,440.27
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Genie,40,100,7535.0,75.35,1.88,Yes,107,1845.74,90.535
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,Capillus,100,45,7875.0,175.0,1.75,Yes,29,854.34,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Viread,30,1000,17000.0,17.0,0.57,Yes,61,7682.69,90.535
Zambia,PMO - US,Direct Drop,Air,ARV,Pediatric,Generic,240,906,19071.3,21.05,0.09,Yes,316,3850.8,90.535
Zambia,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,38780,432009.2,11.14,0.19,Yes,3217,14364.29,90.535
Zambia,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,60784,1018132.0,16.75,0.56,Yes,11179,49824.57,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Generic,240,1000,5050.0,5.05,0.02,Yes,3822,25124.12,90.535
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,25,10000.0,400.0,4.0,Yes,60,1498.02,90.535
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,25000,187500.0,7.5,0.12,Yes,2336,21150.56,300.0
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,OraQuick,100,50,20000.0,400.0,4.0,Yes,120,3004.62,90.535
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,10000,270000.0,27.0,1.35,Yes,3045,28118.58,432.0
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,11500,310500.0,27.0,1.35,Yes,3276,43664.71,496.8
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,8000,216000.0,27.0,1.35,Yes,2603,22838.29,345.6
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,22500,277425.0,12.33,0.41,Yes,2895,18045.24,443.88
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Videx,60,800,5600.0,7.0,0.12,Yes,161,2514.05,8.96
Vietnam,PMO - US,Direct Drop,Air,ARV,Pediatric,Kaletra,300,200,16440.0,82.2,0.27,Yes,340,2326.1,26.3
Tanzania,PMO - US,Direct Drop,Air,HRDT,HIV test,Bioline,25,10000,200000.0,20.0,0.8,Yes,3336,27791.62,320.0
Tanzania,PMO - US,Direct Drop,Air,HRDT,HIV test,Bioline,25,5000,100000.0,20.0,0.8,Yes,1456,14505.37,160.0
Ethiopia,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,35065,54350.75,1.55,0.03,Yes,2318,6755.81,86.96
Guyana,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,2220,71040.0,32.0,1.6,Yes,732,6524.19,113.66
Rwanda,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,4500,144000.0,32.0,1.6,Yes,2300,38425.29,230.4
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,400,600.0,1.5,0.02,Yes,83,2426.05,0.96
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,9048,244296.0,27.0,1.35,Yes,2985,20635.3,390.87
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,3000,239970.0,79.99,0.8,Yes,861,12770.05,383.95
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,3199,255888.01,79.99,0.8,Yes,550,8213.59,409.42
Zambia,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,2000,143980.0,71.99,0.72,Yes,455,4113.16,230.37
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,70,5039.3,71.99,0.72,Yes,16,515.48,8.06
Côte d'Ivoire,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,1116,78120.0,70.0,0.7,Yes,255,5303.05,124.99
Uganda,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,850,61191.5,71.99,0.72,Yes,194,2642.45,97.91
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,520,13000.0,25.0,0.42,Yes,137,5260.46,20.8
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,2576,3889.76,1.51,0.03,Yes,121,2789.74,6.22
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,60,2464,3720.64,1.51,0.03,Yes,114,2879.96,5.95
Botswana,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,100,7199.0,71.99,0.72,Yes,25,641.04,11.52
Botswana,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,100,7199.0,71.99,0.72,Yes,25,1038.39,11.52
Haiti,PMO - US,Direct Drop,Air,HRDT,HIV test,Determine,100,1123,78610.0,70.0,0.7,Yes,257,2873.56,154.08
Zambia,PMO - US,Direct Drop,Air,HRDT,HIV test,Uni-Gold,20,9000,288000.0,32.0,1.6,Yes,3000,34902.96,460.8
Vietnam,PMO - US,Direct Drop,Air,ARV,Adult,Generic,30,2016,24917.76,12.36,0.41,Yes,120,5921.97,39.87
Nigeria,PMO - US,Direct Drop,Air,HRDT,HIV test,Stat-Pak,20,12315,332505.0,27.0,1.35,Yes,3508,29954.15,532.01
